source_line,answer_words,soru,cevap
3573,5,Cumhurbaşkanlığı kararnameleri hangi makam tarafından imzalanır?,Cumhurbaşkanlığı kararnameleri cumhurbaşkanı tarafından imzalanır.
3577,2,Türkiye cumhuriyeti anayasası'nın kaçıncı maddesi egemenliği tanımlar?,6. madde.
3578,2,Anayasanın kaçıncı maddesi temel hak ve hürriyetlerin sınırlandırılmasını düzenler?,13. madde.
3580,2,Anayasa'ya göre cumhurbaşkanı'nın görev süresi kaç yıldır?,5 yıl.
3582,2,Anayasa'da ifade özgürlüğü hangi maddede düzenlenmiştir?,26. madde.
3591,2,Anayasa'ya göre siyasi partilerin mali denetimini kim yapar?,Anayasa mahkemesi.
3593,2,Anayasa'ya göre vatandaşların dilekçe hakkı hangi maddede düzenlenmiştir?,74. madde.
3595,2,Anayasa'ya göre sosyal güvenlik hakkı hangi maddede düzenlenmiştir?,60. madde.
3597,1,Anayasa'ya göre türkiye cumhuriyeti'nin dili nedir?,Türkçe.
3604,2,Anayasa'ya göre kanun önünde eşitlik hangi maddede düzenlenmiştir?,10. madde.
3694,5,Cumhurbaşkanının görev süresi ne kadardır?,Cumhurbaşkanının görev süresi 5 yıldır.
3886,5,Kefalet nedir?,"İfa, borçlunun borcunu yerine getirmesidir."
3935,5,İlam nedir?,"Vergi mükellefiyeti, vergi ödeme yükümlülüğüdür."
4008,5,Avukatlık stajı nedir?,"Hüküm, mahkemenin davayı sonuçlandıran kararıdır."
4574,5,Anayasa mahkemesi'nin üye sayısı nedir?,"Anayasa mahkemesi, 17 üyeden oluşur."
4974,4,Türkiye cumhuriyeti'nin başkenti neresidir?,Türkiye cumhuriyeti'nin başkenti ankara'dır.
4978,4,Milletvekili seçilme yaşı kaçtır?,Milletvekili seçilme yaşı 18'dir.
4982,5,Cumhurbaşkanı'na vekalet eden kimdir?,"Cumhurbaşkanı'na, cumhurbaşkanı yardımcıları vekalet eder."
4983,5,Türkiye cumhuriyeti'nin resmi dili nedir?,Türkiye cumhuriyeti'nin resmi dili türkçedir.
4986,5,Yürütme yetkisi kime aittir?,"Yürütme yetkisi, cumhurbaşkanı tarafından kullanılır."
4990,5,Anayasa mahkemesi'nin üye sayısı kaçtır?,Anayasa mahkemesi'nin 15 üyesi vardır.
5179,5,Anayasa'ya göre türkiye cumhuriyeti'nin resmi dili nedir?,Türkiye cumhuriyeti'nin resmi dili türkçedir.
5195,5,Tbmm'nin seçim dönemi ne kadardır?,Tbmm'nin seçim dönemi beş yıldır.
5200,4,Anayasa'ya göre milletvekili seçilme yaşı nedir?,Milletvekili seçilme yaşı 18'dir.
5201,5,Anayasa'ya göre cumhurbaşkanına vekalet eden kimdir?,"Cumhurbaşkanına, cumhurbaşkanı yardımcısı vekalet eder."
5770,5,İpotek nasıl kurulur?,"İpotek, tapuya tescil ile kurulur."
6573,4,Evlilik ne zaman hükümsüz olur?,Mümessil tarafından açıklanması durumunda.
6591,5,Uzun süre haber alınamayan eş için ne yapılabilir?,Gaiplik kararı için başvuru yapılabilir.
6603,5,Boşanma kararı nasıl bildirilir?,Gerekçeli karar taraflara tebliğ edilir.
6605,5,Boşanma kararı nüfusa nasıl bildirilir?,Karar kesinleştiğinde nüfus memurluğuna gönderilir.
6634,3,Boşanma kararı nüfus kaydına ne zaman işlenir?,Karar kesinleştiğinde işlenir.
6651,5,Vekaletin aslı mahkemeye sunulmalı mıdır?,"Evet, vekaletin aslı mahkemeye sunulmalıdır."
6652,5,Boşanma davası hangi mahkemede açılır?,Boşanma davaları aile mahkemelerinde açılır.
6711,5,Boşanma davasında fiziksel şiddet nasıl ispatlanır?,Sağlık raporları ve fotoğraflarla ispatlanır.
6728,5,Boşanma sonrası tazminat ve nafaka için hangi süre geçerlidir?,Bir yıl içinde dava edilebilir.
6732,5,Boşanma davası sürerken taraflardan biri ölürse davaya kim devam edebilir?,"Davacı ölürse, mirasçıları devam edebilir."
6735,5,Velayet kararı alınırken ana-babanın istekleri mi çocuğun menfaati mi önemlidir?,Çocuğun menfaatlerinin dikkate alınması zorunludur.
6741,5,Tedbir nafakasının başlangıcı ne zamandır?,Tedbir nafakasının başlangıcı dava tarihidir.
6750,5,Boşanma sonrası tazminat ve nafaka için süre nedir?,Bir yıl içinde dava edilebilir.
6752,5,Boşanma sırasında taraflardan biri ölürse davaya kim devam edebilir?,"Davacı ölürse, mirasçıları devam edebilir."
6753,4,Boşanma sırasında davacı ölürse ne olur?,Mirasçıları davaya devam edebilir.
6754,5,Boşanma sırasında davalı ölürse ne olur?,Kusuru ispatlanırsa mirasçılık hakkını kaybeder.
6757,5,Velayet kararında ana-babanın istekleri mi çocuğun menfaati mi önemlidir?,Çocuğun menfaatlerinin dikkate alınması zorunludur.
6762,3,Çocuğun menfaati mi ana-babanın istekleri mi önceliklidir?,Çocuğun menfaatleri önceliklidir.
6794,4,Edinilmiş mallar paylaşıma nasıl tabi olur?,Eşler arasında eşit paylaştırılır.
6796,5,Sağ kalan eş hangi kanun maddesiyle aile konutu üzerinde mülkiyet hakkı talep edebilir?,Medeni kanunumuzun 652. maddesi uyarınca.
6801,5,Sağ kalan eşin miras payı nedir?,"Çocukları varsa, miras payı 1/4'tür."
6810,5,Evlenmeden önce mal rejimi seçimi nasıl yapılır?,Noterde mal rejimi sözleşmesiyle yapılır.
6811,5,Evlenmeden sonra mal rejimi seçimi nasıl yapılır?,Noterde mal rejimi sözleşmesiyle yapılır.
6812,5,Evlenme başvurusunda mal rejimi seçimi nasıl yapılır?,Yazılı bildirimle evlendirme memurluğu'nda yapılır.
6813,5,Mal rejimi sözleşmesi ne zaman yapılabilir?,Evlenmeden önce veya sonra yapılabilir.
